BIRTH_COHORT,SEX,age_median_2017-2018,age_median_2021-2022,lsm_median_2017-2018,lsm_median_2021-2022,n_2017-2018,n_2021-2022,delta_lsm_4yr,delta_age_4yr,annual_lsm_change
1940.0,Female,75.5,80.0,5.0,5.05,116.0,200.0,0.04999999999999982,4.5,0.011111111111111072
1940.0,Male,76.0,80.0,5.4,5.3,106.0,166.0,-0.10000000000000053,4.0,-0.025000000000000133
1945.0,Female,71.0,75.0,5.3,4.9,154.0,211.0,-0.39999999999999947,4.0,-0.09999999999999987
1945.0,Male,71.0,75.0,5.4,5.4,180.0,176.0,0.0,4.0,0.0
1950.0,Female,66.0,70.0,4.8,5.1,213.0,319.0,0.2999999999999998,4.0,0.07499999999999996
1950.0,Male,66.0,70.0,5.5,5.3,213.0,273.0,-0.20000000000000018,4.0,-0.050000000000000044
1955.0,Female,61.0,65.0,4.9,4.95,291.0,368.0,0.04999999999999982,4.0,0.012499999999999956
1955.0,Male,61.0,65.0,5.4,5.6,293.0,281.0,0.1999999999999993,4.0,0.04999999999999982
1960.0,Female,56.0,60.0,4.95,5.1,240.0,347.0,0.14999999999999947,4.0,0.03749999999999987
1960.0,Male,56.0,60.0,5.3,5.3,213.0,306.0,0.0,4.0,0.0
1965.0,Female,51.0,55.0,4.9,5.2,193.0,221.0,0.2999999999999998,4.0,0.07499999999999996
1965.0,Male,51.0,55.0,5.4,5.6,168.0,189.0,0.1999999999999993,4.0,0.04999999999999982
1970.0,Female,46.0,50.0,4.5,4.9,197.0,196.0,0.40000000000000036,4.0,0.10000000000000009
1970.0,Male,46.0,50.0,5.4,5.6,172.0,159.0,0.1999999999999993,4.0,0.04999999999999982
1975.0,Female,41.0,45.0,4.5,4.6,184.0,206.0,0.09999999999999964,4.0,0.02499999999999991
1975.0,Male,41.0,44.5,5.0,5.1,174.0,154.0,0.09999999999999964,3.5,0.02857142857142847
1980.0,Female,36.0,40.0,4.4,4.6,189.0,229.0,0.1999999999999993,4.0,0.04999999999999982
1980.0,Male,36.0,40.0,5.1,5.0,166.0,169.0,-0.09999999999999964,4.0,-0.02499999999999991
1985.0,Female,31.0,35.0,4.3,4.55,189.0,224.0,0.25,4.0,0.0625
1985.0,Male,31.0,35.0,5.3,5.0,207.0,184.0,-0.2999999999999998,4.0,-0.07499999999999996
1990.0,Female,26.0,30.0,4.5,4.6,186.0,209.0,0.09999999999999964,4.0,0.02499999999999991
1990.0,Male,26.0,30.0,5.1,4.9,180.0,187.0,-0.1999999999999993,4.0,-0.04999999999999982
1995.0,Female,21.0,25.0,4.6,4.3,187.0,149.0,-0.2999999999999998,4.0,-0.07499999999999996
1995.0,Male,21.0,25.0,5.1,4.9,209.0,137.0,-0.1999999999999993,4.0,-0.04999999999999982
2000.0,Female,18.0,19.0,4.6,4.3,62.0,209.0,-0.2999999999999998,1.0,-0.2999999999999998
2000.0,Male,18.0,19.0,4.8,4.9,65.0,218.0,0.10000000000000053,1.0,0.10000000000000053
