category,pct,n
age_cat: 18-44,34.4222193790077,7651
age_cat: 45-64,32.51454840333442,8151
age_cat: 65+,19.774999882602394,6019
age_cat: <18,13.264579157625128,3559
sex_cat: Female,58.21466053834035,15052
sex_cat: Male,41.78533946165965,10376
race_eth: Hispanic,13.992095388253395,4638
race_eth: NH Asian,6.057648932738895,1398
race_eth: NH Black,10.276104162622033,3308
race_eth: NH Other,3.2162337694724505,822
race_eth: NH White,66.45791774691322,15262
edu_cat: <HS,6.336236313642616,2179
edu_cat: Child (<18),13.288232335055481,3607
edu_cat: HS,34.10357538501167,8874
edu_cat: Some college+,46.031121987522326,10685
edu_cat: Unknown,0.2358591919319598,82
pov_cat: High income,51.2250225329948,11074
pov_cat: Low income,10.32463037806419,3109
pov_cat: Middle income,27.175437213507603,7031
pov_cat: Near poor,3.238562870234158,1072
pov_cat: Poor/neg,8.036347005199254,3142
ins_cat: Private,74.83547276641748,17200
ins_cat: Public only,21.989227383746908,7297
ins_cat: Uninsured,3.1752998498356027,931
