,LSM (continuous),CAP (continuous),CAP≥0 (no gate),248 Karlas (mixed) ≥S1 any,263 clinical set S1 mild,268 Karlas (mixed) ≥S2 mod,280 Karlas (mixed) ≥S3 sev,288 clinical / baseline S2 mod,302 de Ledinghen/Eddowes (NAFLD) ≥S1 any,330 clinical set S3 sev
BMI,0.295,0.612,0.273,0.382,0.405,0.398,0.398,0.389,0.373,0.339
Waist,0.317,0.662,0.303,0.414,0.437,0.43,0.426,0.418,0.403,0.365
HbA1c,0.205,0.354,0.206,0.253,0.26,0.255,0.257,0.258,0.252,0.223
Fasting glucose,0.19,0.415,0.177,0.263,0.275,0.275,0.279,0.282,0.277,0.258
Triglycerides,0.123,0.456,0.102,0.212,0.234,0.23,0.225,0.227,0.227,0.203
HDL-C,-0.199,-0.361,-0.17,-0.229,-0.243,-0.24,-0.238,-0.238,-0.241,-0.214
ALT,0.239,0.367,0.215,0.244,0.261,0.262,0.257,0.256,0.258,0.23
AST,0.178,0.157,0.171,0.16,0.164,0.165,0.155,0.154,0.154,0.135
GGT,0.268,0.379,0.241,0.257,0.263,0.264,0.255,0.251,0.248,0.217
Systolic BP,0.168,0.219,0.129,0.147,0.143,0.142,0.13,0.127,0.135,0.121
Insulin,0.256,0.525,0.224,0.337,0.379,0.374,0.373,0.377,0.374,0.331
