,Waist,BMI,HbA1c,HDL-C,ALT,AST,GGT,Systolic BP
Female 18-29,0.311,0.328,0.146,-0.193,0.276,0.176,0.24,-0.01
Female 30-39,0.391,0.392,0.31,-0.221,0.298,0.206,0.3,0.14
Female 40-49,0.413,0.422,0.239,-0.228,0.215,0.066,0.289,0.098
Female 50-59,0.455,0.468,0.258,-0.239,0.247,0.061,0.218,0.015
Female 60-69,0.444,0.415,0.26,-0.304,0.159,0.065,0.201,0.027
Female 70-80,0.227,0.202,0.237,-0.221,0.096,0.019,0.146,-0.041
Male 18-29,0.386,0.383,0.051,-0.238,0.323,0.161,0.26,0.077
Male 30-39,0.476,0.442,0.157,-0.264,0.361,0.266,0.226,0.24
Male 40-49,0.432,0.425,0.315,-0.202,0.289,0.137,0.242,0.15
Male 50-59,0.403,0.425,0.276,-0.216,0.246,0.203,0.276,0.048
Male 60-69,0.401,0.388,0.231,-0.262,0.233,0.119,0.149,0.101
Male 70-80,0.355,0.393,0.217,-0.252,0.144,0.034,0.105,0.021
