sex,age,outcome,pct,ci_lo,ci_hi,n_event,N
Female,18-29,Steatosis (MASLD),16.2,12.4,19.9,112,717
Female,18-29,MASLD F2+ (significant),1.9,0.5,3.2,11,717
Female,18-29,MASLD F3+ (advanced),0.5,0.0,1.2,7,717
Female,30-39,Steatosis (MASLD),23.8,19.2,28.4,138,611
Female,30-39,MASLD F2+ (significant),5.3,2.8,7.7,23,611
Female,30-39,MASLD F3+ (advanced),3.1,1.2,4.9,14,611
Female,40-49,Steatosis (MASLD),27.8,22.2,33.3,196,604
Female,40-49,MASLD F2+ (significant),3.8,1.4,6.2,30,604
Female,40-49,MASLD F3+ (advanced),2.5,0.5,4.4,14,604
Female,50-59,Steatosis (MASLD),36.7,30.9,42.5,265,689
Female,50-59,MASLD F2+ (significant),6.8,3.7,9.8,55,689
Female,50-59,MASLD F3+ (advanced),4.0,1.6,6.4,28,689
Female,60-69,Steatosis (MASLD),38.3,32.4,44.3,296,721
Female,60-69,MASLD F2+ (significant),6.2,3.2,9.1,54,721
Female,60-69,MASLD F3+ (advanced),3.9,1.6,6.3,33,721
Female,70-80,Steatosis (MASLD),32.1,27.2,37.1,161,564
Female,70-80,MASLD F2+ (significant),5.9,3.4,8.5,29,564
Female,70-80,MASLD F3+ (advanced),3.1,1.2,4.9,15,564
Male,18-29,Steatosis (MASLD),25.7,20.9,30.6,186,764
Male,18-29,MASLD F2+ (significant),4.1,1.9,6.4,29,764
Male,18-29,MASLD F3+ (advanced),3.1,1.2,5.0,18,764
Male,30-39,Steatosis (MASLD),36.1,30.5,41.7,194,540
Male,30-39,MASLD F2+ (significant),5.6,2.9,8.3,30,540
Male,30-39,MASLD F3+ (advanced),2.9,0.9,4.8,16,540
Male,40-49,Steatosis (MASLD),44.4,38.3,50.6,261,590
Male,40-49,MASLD F2+ (significant),8.7,5.2,12.2,45,590
Male,40-49,MASLD F3+ (advanced),5.3,2.5,8.1,21,590
Male,50-59,Steatosis (MASLD),45.4,38.8,52.0,279,599
Male,50-59,MASLD F2+ (significant),12.4,8.0,16.7,67,599
Male,50-59,MASLD F3+ (advanced),5.8,2.7,8.9,32,599
Male,60-69,Steatosis (MASLD),46.8,40.2,53.4,320,745
Male,60-69,MASLD F2+ (significant),10.0,6.0,13.9,85,745
Male,60-69,MASLD F3+ (advanced),6.7,3.4,10.0,55,745
Male,70-80,Steatosis (MASLD),47.4,42.0,52.8,265,623
Male,70-80,MASLD F2+ (significant),9.2,6.0,12.3,52,623
Male,70-80,MASLD F3+ (advanced),6.6,3.9,9.2,33,623
