sex,age,category,pct,ci_lo,ci_hi,n_event,N
Female,18-29,<F1,84.2,80.5,87.9,606,717
Female,18-29,F1,12.8,9.5,16.2,91,717
Female,18-29,F2–3,2.7,1.0,4.3,16,717
Female,18-29,>F3,0.3,0.0,0.8,4,717
Female,30-39,<F1,81.7,77.5,85.9,511,611
Female,30-39,F1,11.8,8.3,15.3,65,611
Female,30-39,F2–3,5.0,2.6,7.4,27,611
Female,30-39,>F3,1.5,0.2,2.8,8,611
Female,40-49,<F1,80.1,75.1,85.0,478,604
Female,40-49,F1,14.6,10.3,19.0,83,604
Female,40-49,F2–3,4.9,2.2,7.6,40,604
Female,40-49,>F3,0.4,0.0,1.1,3,604
Female,50-59,<F1,72.4,67.0,77.7,483,689
Female,50-59,F1,19.7,14.9,24.5,132,689
Female,50-59,F2–3,6.6,3.6,9.6,57,689
Female,50-59,>F3,1.3,0.0,2.7,17,689
Female,60-69,<F1,71.6,66.1,77.1,505,721
Female,60-69,F1,18.6,13.9,23.4,131,721
Female,60-69,F2–3,8.3,4.9,11.6,70,721
Female,60-69,>F3,1.5,0.0,2.9,15,721
Female,70-80,<F1,71.4,66.6,76.2,405,564
Female,70-80,F1,17.9,13.8,21.9,99,564
Female,70-80,F2–3,8.8,5.8,11.8,49,564
Female,70-80,>F3,1.9,0.5,3.4,11,564
Male,18-29,<F1,70.8,65.7,75.8,550,764
Male,18-29,F1,20.4,15.9,24.8,163,764
Male,18-29,F2–3,7.4,4.5,10.2,43,764
Male,18-29,>F3,1.5,0.2,2.9,8,764
Male,30-39,<F1,74.5,69.4,79.6,385,540
Male,30-39,F1,18.0,13.5,22.5,114,540
Male,30-39,F2–3,6.4,3.5,9.2,36,540
Male,30-39,>F3,1.1,0.0,2.3,5,540
Male,40-49,<F1,66.8,61.0,72.7,386,590
Male,40-49,F1,22.2,17.0,27.4,147,590
Male,40-49,F2–3,8.8,5.3,12.4,47,590
Male,40-49,>F3,2.1,0.3,3.9,10,590
Male,50-59,<F1,67.2,61.0,73.4,371,599
Male,50-59,F1,17.5,12.5,22.5,141,599
Male,50-59,F2–3,12.4,8.0,16.7,69,599
Male,50-59,>F3,2.9,0.7,5.1,18,599
Male,60-69,<F1,61.8,55.3,68.2,440,745
Male,60-69,F1,23.7,18.1,29.3,169,745
Male,60-69,F2–3,10.3,6.3,14.4,100,745
Male,60-69,>F3,4.2,1.6,6.9,36,745
Male,70-80,<F1,61.7,56.4,66.9,377,623
Male,70-80,F1,24.6,19.9,29.2,154,623
Male,70-80,F2–3,9.7,6.5,12.9,70,623
Male,70-80,>F3,4.1,2.0,6.3,22,623
