sex,age_start,age_end,age_group,top_coded,source,cap_dist_family,cap_mean,cap_sd,n,n_eff,cap_s0_share,cap_s1_share,cap_s2_share,cap_s3_share,cap_s0_fit,cap_s1_fit,cap_s2_fit,cap_s3_fit
Female,0.0,0.01917808,0-0.0191781,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,0.01917808,0.07671233,0.0191781-0.0767123,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,0.07671233,0.5,0.0767123-0.5,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,0.5,1.0,0.5-1,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,1.0,2.0,1-2,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,2.0,5.0,2-5,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,5.0,10.0,5-10,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,10.0,15.0,10-15,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,15.0,20.0,15-20,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,20.0,25.0,20-25,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,25.0,30.0,25-30,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,30.0,35.0,30-35,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,35.0,40.0,35-40,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,40.0,45.0,40-45,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,45.0,50.0,45-50,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,50.0,55.0,50-55,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,55.0,60.0,55-60,False,forward_filled,normal,264.625663,58.204897,0,0.0,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,60.0,65.0,60-64,False,fitted,normal,264.625663,58.204897,778,373.15054,0.422696,0.115061,0.067511,0.394732,0.387577,0.135538,0.08105,0.395835
Female,65.0,70.0,65-69,False,fitted,normal,274.852354,57.338213,659,345.316093,0.353905,0.12071,0.069746,0.455639,0.31978,0.132657,0.083331,0.464232
Female,70.0,75.0,70-74,False,fitted,normal,263.21978,58.460831,485,319.564545,0.407741,0.113746,0.074861,0.403651,0.3973,0.135284,0.080372,0.387043
Female,75.0,80.0,75-79,False,fitted,normal,258.790396,50.758251,319,220.490792,0.397563,0.155685,0.120469,0.326283,0.415826,0.156163,0.089984,0.338026
Female,80.0,125.0,80+,True,fitted,normal,254.058959,55.284273,328,236.72717,0.488913,0.126804,0.066661,0.317622,0.456365,0.14318,0.081002,0.319453
Male,0.0,0.01917808,0-0.0191781,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,0.01917808,0.07671233,0.0191781-0.0767123,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,0.07671233,0.5,0.0767123-0.5,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,0.5,1.0,0.5-1,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,1.0,2.0,1-2,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,2.0,5.0,2-5,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,5.0,10.0,5-10,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,10.0,15.0,10-15,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,15.0,20.0,15-20,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,20.0,25.0,20-25,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,25.0,30.0,25-30,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,30.0,35.0,30-35,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,35.0,40.0,35-40,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,40.0,45.0,40-45,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,45.0,50.0,45-50,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,50.0,55.0,50-55,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,55.0,60.0,55-60,False,forward_filled,normal,279.677019,61.754119,0,0.0,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,60.0,65.0,60-64,False,fitted,normal,279.677019,61.754119,760,336.139862,0.311564,0.161345,0.060914,0.466177,0.303992,0.12102,0.077075,0.497913
Male,65.0,70.0,65-69,False,fitted,normal,275.290532,59.477117,557,256.470943,0.33266,0.137695,0.088356,0.44129,0.323174,0.128047,0.080335,0.468444
Male,70.0,75.0,70-74,False,fitted,normal,273.203527,66.056903,493,309.655919,0.361132,0.095819,0.094887,0.448162,0.3514,0.117206,0.072368,0.459026
Male,75.0,80.0,75-79,False,fitted,normal,280.884389,58.814204,287,187.31498,0.310437,0.086084,0.078621,0.524859,0.288039,0.125259,0.080703,0.505999
Male,80.0,125.0,80+,True,fitted,normal,261.61317,61.032894,339,233.393201,0.423725,0.086423,0.078091,0.411761,0.41175,0.129922,0.076721,0.381608
