sex,age_start,age_end,age_group,top_coded,source,lsm_dist_family,mean_kpa,sd_kpa,f4_share_target,n,n_eff,ks,lsm_f0_share,lsm_f1_share,lsm_f2_share,lsm_f3_share,lsm_f4_share,lsm_f0_fit,lsm_f1_fit,lsm_f2_fit,lsm_f3_fit,lsm_f4_fit
Female,0.0,0.01917808,0-0.0191781,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,0.01917808,0.07671233,0.0191781-0.0767123,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,0.07671233,0.5,0.0767123-0.5,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,0.5,1.0,0.5-1,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,1.0,2.0,1-2,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,2.0,5.0,2-5,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,5.0,10.0,5-10,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,10.0,15.0,10-15,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,15.0,20.0,15-20,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
Female,20.0,25.0,20-25,False,forward_filled,lognormal,5.021684,2.516314,0.020355,0,0.0,0.17857,0.72749,0.164108,0.042717,0.045331,0.020355,0.729969,0.1589,0.065807,0.039916,0.005407
