Cycle,Window,Def,Group,N,PY,UCOD,Cause,Deaths,Rate/1000PY,Flag
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,1,Heart disease,5,15.5,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,2,Malignant neoplasms,4,12.4,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,3,Chronic lower resp.,2,6.2,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,4,Accidents,0,0.0,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,5,Cerebrovascular,1,3.1,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,6,Alzheimer's,1,3.1,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,7,Diabetes,1,3.1,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,8,Influenza/pneumonia,0,0.0,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,9,Nephritis,1,3.1,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,322.2,10,All other causes,7,21.7,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,1,Heart disease,3,0.4,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,2,Malignant neoplasms,15,1.9,
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,3,Chronic lower resp.,3,0.4,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,4,Accidents,1,0.1,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,5,Cerebrovascular,4,0.5,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,6,Alzheimer's,0,0.0,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,7,Diabetes,1,0.1,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,8,Influenza/pneumonia,0,0.0,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,9,Nephritis,2,0.3,UNSTABLE
2007-2008,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3982,7928.4,10,All other causes,10,1.3,
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,469.0,1,Heart disease,8,17.1,UNSTABLE
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,469.0,2,Malignant neoplasms,5,10.7,UNSTABLE
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,469.0,3,Chronic lower resp.,2,4.3,UNSTABLE
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,469.0,4,Accidents,0,0.0,UNSTABLE
2007-2008,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,172,469.0,5,Cerebrovascular,1,2.1,UNSTABLE
