Cycle,N,FIB4 high,FIB4 low,Deaths 24m,Deaths 36m,% >=24m FU,% >=36m FU,Max FU (m)
1999-2000,5445,104,3531,114,176,89%,88%,249
2001-2002,5987,123,4058,122,193,91%,90%,229
2003-2004,5610,156,3620,161,239,92%,90%,205
2005-2006,5561,122,3812,110,187,94%,93%,180
2007-2008,6219,172,3982,151,236,94%,93%,159
2009-2010,6510,274,3979,127,207,96%,94%,135
2011-2012,5849,215,3523,111,180,94%,93%,113
2013-2014,6100,231,3825,124,208,95%,94%,85
2015-2016,5974,235,3621,123,187,94%,93%,61
2017-2018,5809,189,3573,113,130,48%,2%,37
TOTAL,59064,1821,37524,1256,1943,89%,83%,249
