pair,project,NHANES,Δ,big_shift
LDL_C ↔ FPG,0.15,-0.199,-0.349,←
BMI ↔ SBP,0.25,-0.038,-0.288,←
LDL_C ↔ liver_stiffness,0.05,-0.226,-0.276,←
SBP ↔ kidney_dysfunction,-0.2,0.047,0.247,←
FPG ↔ kidney_dysfunction,-0.2,0.037,0.237,←
liver_stiffness ↔ kidney_dysfunction,-0.1,0.098,0.198,←
BMI ↔ kidney_dysfunction,-0.15,0.046,0.196,←
smoking ↔ kidney_dysfunction,0.1,-0.064,-0.164,←
FPG ↔ lipoprotein_a,0.0,-0.122,-0.122,←
BMI ↔ lipoprotein_a,0.05,-0.071,-0.121,←
FPG ↔ smoking,-0.05,0.066,0.116,←
SBP ↔ FPG,0.2,0.105,-0.095,
LDL_C ↔ smoking,-0.05,-0.123,-0.073,
BMI ↔ smoking,-0.05,0.02,0.07,
SBP ↔ liver_stiffness,0.1,0.032,-0.068,
smoking ↔ liver_stiffness,-0.05,0.01,0.06,
SBP ↔ lipoprotein_a,0.0,0.058,0.058,
LDL_C ↔ lipoprotein_a,0.2,0.145,-0.055,
LDL_C ↔ SBP,0.1,0.056,-0.044,
smoking ↔ lipoprotein_a,0.0,-0.039,-0.039,
LDL_C ↔ kidney_dysfunction,-0.05,-0.085,-0.035,
lipoprotein_a ↔ kidney_dysfunction,0.0,0.032,0.032,
FPG ↔ liver_stiffness,0.2,0.228,0.028,
BMI ↔ liver_stiffness,0.2,0.213,0.013,
BMI ↔ LDL_C,-0.09,-0.08,0.01,
BMI ↔ FPG,0.3,0.29,-0.01,
SBP ↔ smoking,-0.05,-0.043,0.007,
lipoprotein_a ↔ liver_stiffness,0.0,0.0,0.0,
